,category,l2_category,question_id,question_en,question_kr,options,answer_type,question,answer,correct
1273,coarse perception,image style & quality,174.0,"Which category does this image belong to?
 ",," A: oil painting, B: sketch, C: digital art, D: photo",choice,"Which category does this image belong to?
 Options: A: oil painting, B: sketch, C: digital art, D: photo",A,0.0
899,math,numeric commonsense and calculation,1092.0,"Which operation of fractions is represented by this formula?
 ",," A: Add, B: Subtract, C: Multiply, D: Devide",choice,"Which operation of fractions is represented by this formula?
 Options: A: Add, B: Subtract, C: Multiply, D: Devide",B,0.1
1159,logical reasoning,common reasoning,767.0,"In nature, what's the relationship between these two creatures?
 ",," A: Predatory relationships, B: Competitive relationships, C: Parasitic relationships, D: Symbiotic relationship",choice,"In nature, what's the relationship between these two creatures?
 Options: A: Predatory relationships, B: Competitive relationships, C: Parasitic relationships, D: Symbiotic relationship",B,0.0697674418604651
711,logical reasoning,common reasoning,805.0,"What will happen next?
 ",," A: the person is gonna fall off the ladder, B: the person is gonna stand still on the ladder, C: someone is gonna come and hold the ladder, D: both A,B, and C",choice,"What will happen next?
 Options: A: the person is gonna fall off the ladder, B: the person is gonna stand still on the ladder, C: someone is gonna come and hold the ladder, D: both A,B, and C",A,0.181818181818182
697,science & technology,biology & chemistry & physics,1208.0,"In the diagram of the food web shown, what do flat fish eat as food?
 ",," A: fan worm, B: nurse shark, C: giant clam, D: turtle grass",choice,"In the diagram of the food web shown, what do flat fish eat as food?
 Options: A: fan worm, B: nurse shark, C: giant clam, D: turtle grass",B,0.2
500,instance reasoning,cross-instance attribute reasoning,527.0,"Which picture depicts cell division?
 ",," A: B, B: A, C: C, D: {}",choice,"Which picture depicts cell division?
 Options: A: B, B: A, C: C, D: {}",C,0.272727272727273
576,coarse perception,image scene and topic,38.0,"What is the color of the majority of objects in the image?
 ",," A: White, B: Gray, C: Blue, D: Green",choice,"What is the color of the majority of objects in the image?
 Options: A: White, B: Gray, C: Blue, D: Green",A,0.230769230769231
271,coarse perception,image emotion,19.0,"Which mood does this image convey?
 ",," A: Sad, B: Cozy, C: Happy, D: Angry",choice,"Which mood does this image convey?
 Options: A: Sad, B: Cozy, C: Happy, D: Angry",B,0.384615384615385
498,instance reasoning,cross-instance attribute reasoning,519.0,"Which of the following statements match the image?
 ",," A: A triangle is to the left of a pentagon., B: A blue pentagon is to the right of a gray pentagon., C: A blue square is to the left of a blue pentagon., D: A blue pentagon is to the left of a gray shape.",choice,"Which of the following statements match the image?
 Options: A: A triangle is to the left of a pentagon., B: A blue pentagon is to the right of a gray pentagon., C: A blue square is to the left of a blue pentagon., D: A blue pentagon is to the left of a gray shape.",B,0.272727272727273
871,science & technology,biology & chemistry & physics,1209.0,"In the diagram of the food web shown, what will most directly be impacted if the supply of deer increase?
 ",," A: foxes will decrease, B: fruit trees will decrease, C: fruit trees will increase, D: grass will decrease",choice,"In the diagram of the food web shown, what will most directly be impacted if the supply of deer increase?
 Options: A: foxes will decrease, B: fruit trees will decrease, C: fruit trees will increase, D: grass will decrease",B,0.1
533,fine-grained perception,object counting,246.0,"How many apples are there in the image? And how many bananas are there?
 ",," A: 3 apples and 1 bananas, B: 3 apples and 2 bananas, C: 1 apples and 1 bananas, D: 2 apples and 1 bananas",choice,"How many apples are there in the image? And how many bananas are there?
 Options: A: 3 apples and 1 bananas, B: 3 apples and 2 bananas, C: 1 apples and 1 bananas, D: 2 apples and 1 bananas",C,0.25
1111,coarse perception,image scene and topic,123.0,"What kind of weather is depicted in the picture?
 ",," A: sunny, B: rainy, C: windy, D: snowy",choice,"What kind of weather is depicted in the picture?
 Options: A: sunny, B: rainy, C: windy, D: snowy",A,0.0833333333333333
843,coarse perception,image scene and topic,56.0,"What is the main color of the image?
 ",," A: Red, B: Green, C: Black, D: White",choice,"What is the main color of the image?
 Options: A: Red, B: Green, C: Black, D: White",D,0.153846153846154
303,instance reasoning,single-instance reasoning,653.0,"What's the profession of the people in this picture?
 ",," A: mason, B: postman, C: pilot, D: policeman",choice,"What's the profession of the people in this picture?
 Options: A: mason, B: postman, C: pilot, D: policeman",B,0.363636363636364
1151,coarse perception,image scene and topic,94.0,"What is the overall theme of this image?
 ",," A: Sports, B: Sunset, C: Nature, D: Kids playing",choice,"What is the overall theme of this image?
 Options: A: Sports, B: Sunset, C: Nature, D: Kids playing",B,0.0769230769230769
317,fine-grained perception,recognition,373.0,"What is the color of the ball closest to the man?
 ",," A: White, B: Red, C: Blue, D: Brown",choice,"What is the color of the ball closest to the man?
 Options: A: White, B: Red, C: Blue, D: Brown",A,0.333333333333333
1275,coarse perception,image scene and topic,33.0,"What color dominates the logo seen on the wall?
 ",," A: Red, B: Black and White, C: Yellow, D: Blue",choice,"What color dominates the logo seen on the wall?
 Options: A: Red, B: Black and White, C: Yellow, D: Blue",A,0.0
1303,science & technology,biology & chemistry & physics,1181.0,"<image 1> What could be the reason for the corky outgrowths on a young ash tree by the roadside in Littondale, Yorkshire?
 ",," A: Fungal disease, B: Bacterial disease, C: Don't know or not sure, D: Genetic abnormality",choice,"<image 1> What could be the reason for the corky outgrowths on a young ash tree by the roadside in Littondale, Yorkshire?
 Options: A: Fungal disease, B: Bacterial disease, C: Don't know or not sure, D: Genetic abnormality",B,0.0
844,coarse perception,image scene and topic,92.0,"What is the overall theme of the image?
 ",," A: Beach vacation, B: Athletic lifestyle, C: Summer fashion, D: Urban street style",choice,"What is the overall theme of the image?
 Options: A: Beach vacation, B: Athletic lifestyle, C: Summer fashion, D: Urban street style",C,0.153846153846154
558,fine-grained perception,recognition,378.0,"What is the color of the ears on the dessert item located in the bottom right of the image?
 ",," A: Red, B: Brown, C: Black, D: White",choice,"What is the color of the ears on the dessert item located in the bottom right of the image?
 Options: A: Red, B: Brown, C: Black, D: White",D,0.25
812,fine-grained perception,recognition,410.0,"What is the main item on the counter in the image?
 ",," A: A cup of ice cream on a counter with a cone on top, B: Two ice cream cones sitting next to each other, C: A coffee cup with whipped cream on top, D: A cup of ice cream with different flavors",choice,"What is the main item on the counter in the image?
 Options: A: A cup of ice cream on a counter with a cone on top, B: Two ice cream cones sitting next to each other, C: A coffee cup with whipped cream on top, D: A cup of ice cream with different flavors",B,0.166666666666667
709,logical reasoning,common reasoning,814.0,"Which corner doesn't have any food?
 ",," A: top-right, B: top-left, C: bottom-left, D: bottom-right",choice,"Which corner doesn't have any food?
 Options: A: top-right, B: top-left, C: bottom-left, D: bottom-right",D,0.181818181818182
1084,coarse perception,image scene and topic,55.0,"What is the main activity happening in this image?
 ",," A: A couple of men are playing soccer, B: A group of people are having a picnic in the park, C: Two men are playing cricket, D: A group of people are playing volleyball",choice,"What is the main activity happening in this image?
 Options: A: A couple of men are playing soccer, B: A group of people are having a picnic in the park, C: Two men are playing cricket, D: A group of people are playing volleyball",A,0.0833333333333333
