,index,question,answer,category,l2_category,meta_info,pid,output,extracted_choice,correct,model,condition,Unnamed: 0,qid,answer_type,num_responses,answers,extracted_choices,confidences,mean_accuracy,std_accuracy,mean_confidence,std_confidence,accuracies,subject_agreements,agreement,human_qid,original_question
685,685,"What's the function of the demonstrated object?
Options: A: Separatist, B: Clamping, C: drill, D: incise
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,instance reasoning,single-instance reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/685.jpg'}",685,A,A,100.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,,,,,,,,,,,,,,
696,696,"What's the function of the demonstrated object?
Options: A: excavate, B: transport, C: weld, D: Measure the level
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,instance reasoning,single-instance reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/696.jpg'}",696,A,A,100.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,,,,,,,,,,,,,,
698,698,"What's the function of the demonstrated object?
Options: A: clean, B: measurement, C: Bulldozing, D: Cutting platform
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",D,instance reasoning,single-instance reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/698.jpg'}",698,D,D,100.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,,,,,,,,,,,,,,
699,699,"What's the function of the demonstrated object?
Options: A: increase passenger capacity and reduce traffic congestion, B: a sanitary facility used for excretion, C: used as decorations., D: watch TV shows
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,instance reasoning,single-instance reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/699.jpg'}",699,A,A,100.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,,,,,,,,,,,,,,
700,700,"What's the function of the demonstrated object?
Options: A: prepare food and cook meals, B: sleep, C: a sanitary facility used for excretion, D: Play basketball
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,instance reasoning,single-instance reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/700.jpg'}",700,B,B,100.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,,,,,,,,,,,,,,
703,703,"What's the function of the demonstrated object?
Options: A: display information in pictorial or textual form, B: project images or videos onto a larger surface, C: watch TV shows, D: display digital photos in a slideshow format.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,instance reasoning,single-instance reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/703.jpg'}",703,A,A,100.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,,,,,,,,,,,,,,
713,713,"What's the profession of the people in this picture?
Options: A: magician, B: financial analyst, C: florist, D: lawyer
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,instance reasoning,single-instance reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/713.jpg'}",713,A,A,100.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,,,,,,,,,,,,,,
715,715,"What's the profession of the people in this picture?
Options: A: photographer, B: chemist, C: repairman, D: pianist
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",C,instance reasoning,single-instance reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/715.jpg'}",715,C,C,100.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,,,,,,,,,,,,,,
716,716,"What's the profession of the people in this picture?
Options: A: mason, B: nurse, C: pilot, D: policeman
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",D,instance reasoning,single-instance reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/716.jpg'}",716,D,D,100.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,,,,,,,,,,,,,,
717,717,"What's the profession of the people in this picture?
Options: A: mason, B: postman, C: pilot, D: policeman
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,instance reasoning,single-instance reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/717.jpg'}",717,B,B,100.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,,,,,,,,,,,,,,
719,719,"What's the profession of the people in this picture?
Options: A: astronaut, B: chemist, C: musician, D: pianist
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,instance reasoning,single-instance reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/719.jpg'}",719,A,A,100.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,,,,,,,,,,,,,,
730,730,"Which special day is associated with this poster?
Options: A: Earth Day., B: Children's Day., C: Father's Day., D: Mother's Day
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,instance reasoning,single-instance reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/730.jpg'}",730,B,B,100.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,,,,,,,,,,,,,,
731,731,"What is the relationship between the people in the image?
Options: A: friends, B: family, C: commercial, D: professional
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",D,instance reasoning,cross-instance attribute reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/731.jpg'}",731,D,D,100.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,,,,,,,,,,,,,,
737,737,"Based on the image, what is the significance of having two cakes on the table during the couple's celebration with their baby?
Options: A: Having two cakes allows for different cake flavors or designs for their guests., B: Having two cakes signifies that the couple is celebrating multiple occasions or milestones., C: Having two cakes indicates a preference for abundance and excess., D: Having two cakes is a common practice in most celebrations of this nature.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,instance reasoning,cross-instance relation reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/737.jpg'}",737,D,D,0.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,,,,,,,,,,,,,,
741,741,"Which property do these three objects have in common?
Options: A: blue, B: smooth, C: flexible, D: nan
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,instance reasoning,cross-instance relation reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/741.jpg'}",741,B,B,100.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,,,,,,,,,,,,,,
745,745,"In the picture, one is a bear doll and the other is a cat. Are they the same size?
Options: A: same, B: Not the same, C: Can't judge, D: nan
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,instance reasoning,cross-instance attribute reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/745.jpg'}",745,B,B,100.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,,,,,,,,,,,,,,
756,756,"Where is the woman holding her belly in the image?
Options: A: With both hands, B: With her right hand, C: With her left hand, D: She's not holding her belly
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,logical reasoning,common reasoning,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/756.jpg'}",756,B,B,100.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,,,,,,,,,,,,,,
762,762,"In the picture, which direction is the baby facing?
Options: A: left, B: right, C: up, D: down
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,logical reasoning,common reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/762.jpg'}",762,B,B,100.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,,,,,,,,,,,,,,
764,764,"What type of vegetation is visible in the image?
Options: A: Trees only, B: A mix of trees and bushes, C: Bushes only, D: Grass
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,logical reasoning,common reasoning,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/764.jpg'}",764,B,B,0.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,,,,,,,,,,,,,,
770,770,"Approximately what proportion of the picture is occupied by the bus in the image?
Options: A: 0.8, B: 1, C: 0.6, D: 0.3
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",C,logical reasoning,common reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/770.jpg'}",770,C,C,100.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,,,,,,,,,,,,,,
794,794,"What will happen next?
Options: A: the person is gonna fall off the ladder, B: the person is gonna stand still on the ladder, C: someone is gonna come and hold the ladder, D: both A,B, and C
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,logical reasoning,common reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/794.jpg'}",794,A,A,100.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,,,,,,,,,,,,,,
812,812,"Is there a teddy bear in the image?
Options: A: Can't tell, B: No, C: Yes, D: Maybe
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,logical reasoning,common reasoning,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/812.jpg'}",812,B,B,100.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,,,,,,,,,,,,,,
834,834,"What is the referee doing in the image?
Options: A: Blowing the whistle, B: Talking to the players, C: Watching the match from the sideline, D: Scoring the goal
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",C,logical reasoning,common reasoning,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/834.jpg'}",834,C,C,100.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,,,,,,,,,,,,,,
844,844,"Which of the following objects has the highest density in the image?
Options: A: Palm trees, B: Trees, C: Sand, D: Dead grass
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",C,logical reasoning,common reasoning,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/844.jpg'}",844,A,A,0.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,,,,,,,,,,,,,,
860,860,"In the diagram shown, which organism consumes small fish as food?
Options: A: mahi mahi, B: large shark, C: zooplankton, D: mackerel
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",D,logical reasoning,diagram reasoning,"{'source': 'AI2D_TEST', 'split': 'val', 'image_path': 'images/860.jpg'}",860,B,B,0.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,,,,,,,,,,,,,,
868,868,"Which can be the associated text with this image posted on twitter
Options: A: if anyone has super mario maker 2, make sure to stop by my account and play a few of my levels. most of these levels are from 4-1 years ago, tho, i do have a super world in the works!, B: 2017年10月27日発売のNintendo Switchソフト『スーパーマリオ オデッセイ』の公式アカウントです。3Dマリオ最新作『スーパーマリオ オデッセイ』に関するゲーム情報やお知らせをディレクターの元倉がお伝えします。 ※ご質問・お問い合わせにはお答えしておりませんのでご容赦ください。, C: happy tears of the kingdom day!! #kirby #zelda, D: See You In July - Kirby Gamble Galaxy Stories #Kirby #Nintendo #Gamedev #GameDesign #カービィ #星のカービィ #Fangame #Fanart #IndieDev #GameMaker #gamedevelopment #Fanart
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,logical reasoning,common reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/868.jpg'}",868,A,A,100.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,,,,,,,,,,,,,,
887,887,"What's the profession of the people in this picture?
Options: A: trainer, B: chemist, C: musician, D: pianist
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",D,logical reasoning,common reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/887.jpg'}",887,D,D,100.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,,,,,,,,,,,,,,
889,889,"Based on the lighting, what time of day does it appear to be in the image?
Options: A: Late afternoon, B: Morning, C: Evening, D: Night
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,logical reasoning,common reasoning,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/889.jpg'}",889,B,B,100.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,,,,,,,,,,,,,,
890,890,"What is the intended outcome in this image?
Options: A: She will lose leg muscle, B: She will maintain her current leg muscle size, C: She will grow her leg muscle, D: She will undergo surgery to reduce leg muscle
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",C,logical reasoning,common reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/890.jpg'}",890,C,C,100.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,,,,,,,,,,,,,,
928,928,"Which continent is highlighted?
Options: A: Europe, B: South America, C: Antarctica, D: Africa
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",C,logical reasoning,diagram reasoning,"{'source': 'ScienceQA_TEST', 'split': 'val', 'image_path': 'images/928.jpg'}",928,C,C,100.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,,,,,,,,,,,,,,
934,934,"What is the name of the colony shown?
Options: A: Maine, B: Rhode Island, C: New York, D: Virginia
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,logical reasoning,diagram reasoning,"{'source': 'ScienceQA_TEST', 'split': 'val', 'image_path': 'images/934.jpg'}",934,B,B,100.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,,,,,,,,,,,,,,
936,936,"Which of these cities is marked on the map?
Options: A: Miami, B: Atlanta, C: Nashville, D: Oklahoma City
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,logical reasoning,diagram reasoning,"{'source': 'ScienceQA_TEST', 'split': 'val', 'image_path': 'images/936.jpg'}",936,B,B,100.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,,,,,,,,,,,,,,
938,938,"Is the man wearing a hat?
Options: A: There is a design on his head, but no hat, B: No, C: Can't be determined, D: Yes
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",C,logical reasoning,common reasoning,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/938.jpg'}",938,B,B,0.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,,,,,,,,,,,,,,
947,947,"Which country is highlighted?
Options: A: Saint Lucia, B: Jamaica, C: Haiti, D: Cuba
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,logical reasoning,diagram reasoning,"{'source': 'ScienceQA_TEST', 'split': 'val', 'image_path': 'images/947.jpg'}",947,B,B,100.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,,,,,,,,,,,,,,
949,949,"Which month has the lowest average precipitation in London?
Options: A: July, B: February, C: November, D: nan
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,logical reasoning,diagram reasoning,"{'source': 'ScienceQA_TEST', 'split': 'val', 'image_path': 'images/949.jpg'}",949,A,A,100.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,,,,,,,,,,,,,,
961,961,"What is the name of the colony shown?
Options: A: New York, B: Connecticut, C: New Hampshire, D: Massachusetts
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,logical reasoning,diagram reasoning,"{'source': 'ScienceQA_TEST', 'split': 'val', 'image_path': 'images/961.jpg'}",961,B,B,100.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,,,,,,,,,,,,,,
975,975,"If you were to sit on the chair closest to the window, which color would the chair be?
Options: A: Green, B: Blue, C: Red, D: White
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,logical reasoning,common reasoning,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/975.jpg'}",975,B,B,0.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,,,,,,,,,,,,,,
988,988,"What is the most likely purpose of this poster?
Options: A: To celebrate New Year., B: To celebrate someone's birthday., C: To celebrate Christmas., D: To celebrate National Day.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",C,logical reasoning,common reasoning,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/988.jpg'}",988,C,C,100.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,,,,,,,,,,,,,,
1499,1499,"How many chirality centers does the following molecule have? <image 1>
Options: A: 5, B: Other Answers, C: nan, D: nan
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,science & technology,biology & chemistry & physics,"{'source': 'MMMU', 'split': 'val', 'image_path': 'images/1499.jpg'}",1499,B,B,0.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,,,,,,,,,,,,,,,,,
0,0,"Which option describe the object relationship in the image correctly?
Options: A: The suitcase is on the book., B: The suitcase is beneath the cat., C: The suitcase is beneath the bed., D: The suitcase is beneath the book.
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,coarse perception,image scene and topic,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/0.jpg'}",0,B,B,0.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,inst blind,,,,,,,,,,,,,,,,
1,1,"What is the main feature in the background of the image?
Options: A: A park bench near the water., B: A couple sitting on a bench., C: A body of water and the Golden Gate Bridge., D: A mountain in the distance.
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/1.jpg'}",1,C,C,0.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,inst blind,,,,,,,,,,,,,,,,
3,3,"What is the most prominent feature in the image?
Options: A: The skyline, B: The golf course, C: The trees, D: The person
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",C,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/3.jpg'}",3,B,B,0.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,inst blind,,,,,,,,,,,,,,,,
4,4,"What is the center of focus in the image?
Options: A: A man writing in a book, B: A boy with his head in his hands surrounded by books, C: A cluttered desk with books and a pen, D: A stack of books covering a young man's face
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/4.jpg'}",4,B,B,0.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,inst blind,,,,,,,,,,,,,,,,
7,7,"What is the primary subject in this image?
Options: A: a guitar, B: a man on stage, C: a microphone, D: a concert
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",D,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/7.jpg'}",7,B,B,0.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,inst blind,,,,,,,,,,,,,,,,
9,9,"What feeling is represented in this image?
Options: A: engaged, B: distressed, C: angry, D: sad
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",D,coarse perception,image emotion,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/9.jpg'}",9,A,A,0.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,inst blind,,,,,,,,,,,,,,,,
10,10,"What time of day is it in the image?
Options: A: Noon, B: Evening, C: Night, D: Dawn
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",D,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/10.jpg'}",10,A,A,0.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,inst blind,,,,,,,,,,,,,,,,
12,12,"What is the main focus of this image?
Options: A: The grassy hill, B: The sculpture, C: The fence, D: The building
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/12.jpg'}",12,B,B,0.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,inst blind,,,,,,,,,,,,,,,,
13,13,"Which mood does this image convey?
Options: A: Sad, B: Cozy, C: Happy, D: Angry
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,coarse perception,image emotion,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/13.jpg'}",13,C,C,0.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,inst blind,,,,,,,,,,,,,,,,
17,17,"What is the overall theme of the image?
Options: A: Beach vacation, B: Athletic lifestyle, C: Summer fashion, D: Urban street style
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",C,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/17.jpg'}",17,B,B,0.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,inst blind,,,,,,,,,,,,,,,,
21,21,"What is the overall theme of this image?
Options: A: Sports, B: Sunset, C: Nature, D: Kids playing
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/21.jpg'}",21,C,C,0.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,inst blind,,,,,,,,,,,,,,,,
27,27,"What is happening in the image?
Options: A: A group of men are playing soccer on a field., B: A football player is kicking a ball., C: A soccer player is practicing ball control at the stadium., D: An Olympic athlete is competing in a soccer match.
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/27.jpg'}",27,B,B,0.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,inst blind,,,,,,,,,,,,,,,,
33,33,"What kind of environment is depicted in the image?
Options: A: A historical site, B: A religious location, C: A residential area, D: A garden
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/33.jpg'}",33,B,B,0.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,inst blind,,,,,,,,,,,,,,,,
36,36,"What is the overall scene depicted in this image?
Options: A: A group of people ice skating on a frozen lake surrounded by snowy trees and hills, B: A small town during a winter snowfall with snow-covered buildings and trees, C: A busy city street during Christmas time with decorated buildings and light displays, D: A ski resort town with snowy mountains and ski lifts visible in the background
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/36.jpg'}",36,A,A,0.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,inst blind,,,,,,,,,,,,,,,,
38,38,"Which of the following best describes the view from the deck?
Options: A: A view of a forest, B: A view of the cityscape, C: A view of the mountains, D: A view of a body of water
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/38.jpg'}",38,D,D,0.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,inst blind,,,,,,,,,,,,,,,,
40,40,"What type of scene is depicted in this image?
Options: A: A workspace, B: A beach vacation, C: A tropical restaurant, D: A desert oasis
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/40.jpg'}",40,C,C,0.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,inst blind,,,,,,,,,,,,,,,,
41,41,"What is the general theme of this image?
Options: A: Candy buffet, B: Ice cream sundae, C: Yogurt containers, D: Fruit desserts
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",B,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/41.jpg'}",41,B,B,100.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,inst blind,,,,,,,,,,,,,,,,
43,43,"Based on the image, which statement best describes the likely purpose of the setting?
Options: A: A photoshoot for greeting cards, B: A scientific research site, C: A festive celebration, D: A picnic spot for a group of people
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/43.jpg'}",43,C,C,0.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,inst blind,,,,,,,,,,,,,,,,
45,45,"What is the main focus of the image?
Options: A: A person playing a guitar in front of a choir, B: A choir singing on a stage, C: A man sitting in a chair playing a guitar, D: A man playing a guitar in front of a group of people
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",C,coarse perception,image scene and topic,"{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/45.jpg'}",45,A,A,0.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,inst blind,,,,,,,,,,,,,,,,
46,46,"Which image shows the highest sharpness?
Options: A: upper left, B: upper right, C: down left, D: down right
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",A,coarse perception,image style & quality,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/46.jpg'}",46,A,A,100.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,inst blind,,,,,,,,,,,,,,,,
47,47,"What kind of weather is depicted in the picture?
Options: A: sunny, B: rainy, C: windy, D: snowy
Note: No images are provided. For each question, imagine an appropriate image exists and answer based on the most common or universal scenario.
Provide only the letter corresponding to the correct choice (A, B, C, or D).
Answer:",C,coarse perception,image scene and topic,"{'source': 'MMBench', 'split': 'val', 'image_path': 'images/47.jpg'}",47,A,A,0.0,Qwen3-VL-4B-Instruct_A4_mmstar_15_blind_inst,inst blind,,,,,,,,,,,,,,,,
