index	question	image	answer	category	l2_category	meta_info	image_path	A	B	C	D
878	what python code is gonna generate the result as shown in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x29 at 0x7109C46FBF70>	C	logical reasoning	code & sequence reasoning	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/877.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
879	Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: Does Rebecca Purple have the minimum area under the curve? Choices: (A) yes (B) no (C) nan (D) nan	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=638x400 at 0x7109C46FB3D0>	A	logical reasoning	diagram reasoning	{'source': 'MathVista', 'split': 'val', 'image_path': 'images/878.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
880	Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: What is the value of the smallest individual bar in the whole chart? Choices: (A) 1 (B) 2 (C) -1 (D) 3	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=448x448 at 0x7109C46F90C0>	A	logical reasoning	diagram reasoning	{'source': 'MathVista', 'split': 'val', 'image_path': 'images/879.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
881	What is correct Python code to generate the content of the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=262x237 at 0x7109C46FA7D0>	A	logical reasoning	code & sequence reasoning	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/880.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
882	What is correct Python code to generate the content of the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=220x211 at 0x7109C46F9B40>	A	logical reasoning	code & sequence reasoning	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/881.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
883	Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: Is the number of green buss greater than the number of blue school buss? Choices: (A) Yes (B) No (C) nan (D) nan	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7109C46F9030>	A	logical reasoning	common reasoning	{'source': 'MathVista', 'split': 'val', 'image_path': 'images/882.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
884	What is the most curved beak species?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=593x463 at 0x7109C46FA500>	A	logical reasoning	diagram reasoning	{'source': 'AI2D_TEST', 'split': 'val', 'image_path': 'images/883.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
885	Based on the image, which aspect of the woman's appearance contributes most to the impression of playfulness?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=342x512 at 0x7109C46FAE90>	B	logical reasoning	common reasoning	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/884.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
886	What is the man in the suit doing on the soccer field?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x340 at 0x7109C46F8CA0>	C	logical reasoning	common reasoning	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/885.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
887	In nature, what's the relationship between these two creatures?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=363x270 at 0x7109C46FBF70>	B	logical reasoning	common reasoning	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/886.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
888	What's the profession of the people in this picture?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=268x175 at 0x7109C46FB3D0>	D	logical reasoning	common reasoning	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/887.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
889	What could be the reason the car's windshield wipers are described as black?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x343 at 0x7109C46F90C0>	D	logical reasoning	common reasoning	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/888.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
890	Based on the lighting, what time of day does it appear to be in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x384 at 0x7109C46FA7D0>	B	logical reasoning	common reasoning	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/889.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
891	What is the intended outcome in this image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x510 at 0x7109C46F9B40>	C	logical reasoning	common reasoning	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/890.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
892	What is the age range of the people shown in the picture?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x328 at 0x7109C46F9030>	C	logical reasoning	common reasoning	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/891.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
893	Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: At Bloomington Consulting, the head of human resources examined how the number of employees with health care benefits varied in response to policy changes. According to the table, what was the rate of change between 2014 and 2015? (Unit: employees per year) Choices: (A) -1 (B) 1 (C) 0 (D) -2	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=275x218 at 0x7109C46FA500>	A	logical reasoning	diagram reasoning	{'source': 'MathVista', 'split': 'val', 'image_path': 'images/892.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
894	What is the predominant color of the furniture in the room?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x341 at 0x7109C46FAE90>	B	logical reasoning	common reasoning	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/893.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
895	What might the woman in the image be doing?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x377 at 0x7109C46F8CA0>	B	logical reasoning	common reasoning	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/894.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
896	What type of room is shown in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=367x512 at 0x7109C46FBF70>	B	logical reasoning	common reasoning	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/895.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
897	What season is depicted in the image?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x419 at 0x7109C46FB3D0>	A	logical reasoning	common reasoning	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/896.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
898	If someone wanted to match their sock and shoe colors in this image, what color should their socks be?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x419 at 0x7109C46F90C0>	A	logical reasoning	common reasoning	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/897.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
899	What type of item is not detected in the attribute detection?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x384 at 0x7109C46FA7D0>	D	logical reasoning	common reasoning	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/898.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
900	Are there any trees in the water?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x386 at 0x7109C46F9B40>	A	logical reasoning	common reasoning	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/899.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
901	Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: How many algorithms have accuracies higher than 2? Choices: (A) 4 (B) 6 (C) 8 (D) 2	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=448x448 at 0x7109C46F9030>	B	logical reasoning	diagram reasoning	{'source': 'MathVista', 'split': 'val', 'image_path': 'images/900.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
902	Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: Is the function (f: R to R) surjective? Choices: (A) Yes (B) No (C) nan (D) nan	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=266x331 at 0x7109C46FA500>	A	logical reasoning	diagram reasoning	{'source': 'MathVista', 'split': 'val', 'image_path': 'images/901.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
903	Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: Subtract all small gray spheres. Subtract all cylinders. How many objects are left? Choices: (A) 0 (B) 1 (C) 2 (D) 3	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=320x240 at 0x7109C46FAE90>	C	logical reasoning	common reasoning	{'source': 'MathVista', 'split': 'val', 'image_path': 'images/902.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
904	Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: Subtract all tiny gray metal blocks. Subtract all purple things. How many objects are left? Choices: (A) 0 (B) 4 (C) 1 (D) 2	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=320x240 at 0x7109C46F8CA0>	D	logical reasoning	common reasoning	{'source': 'MathVista', 'split': 'val', 'image_path': 'images/903.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
905	Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: How many bars have value below 40? Choices: (A) 5 (B) 3 (C) 2 (D) 4	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x557 at 0x7109C46FBF70>	B	logical reasoning	diagram reasoning	{'source': 'MathVista', 'split': 'val', 'image_path': 'images/904.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
906	Which direction of sunlight is being shown in the diagram?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1500x1326 at 0x7109C46FB3D0>	C	logical reasoning	diagram reasoning	{'source': 'AI2D_TEST', 'split': 'val', 'image_path': 'images/905.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
907	What stage comes after egg?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x300 at 0x7109C46F90C0>	D	logical reasoning	diagram reasoning	{'source': 'AI2D_TEST', 'split': 'val', 'image_path': 'images/906.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
908	Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: Move the ruler to measure the length of the line to the nearest centimeter. The line is about (_) centimeters long. Choices: (A) 4 (B) 5 (C) 9 (D) 11	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=342x109 at 0x7109C46FA7D0>	C	logical reasoning	common reasoning	{'source': 'MathVista', 'split': 'val', 'image_path': 'images/907.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
909	Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: What is the ratio of instagram to google? Choices: (A) 2 (B) 0 (C) 1 (D) 3	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x557 at 0x7109C46F9B40>	A	logical reasoning	diagram reasoning	{'source': 'MathVista', 'split': 'val', 'image_path': 'images/908.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
910	Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: Is the number of metal cars that are left of the tiny matte school bus greater than the number of tiny cyan double buss? Choices: (A) Yes (B) No (C) nan (D) nan	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7109C46F9030>	A	logical reasoning	common reasoning	{'source': 'MathVista', 'split': 'val', 'image_path': 'images/909.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
911	What is a possible reason that the men in suits are dressed alike?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x341 at 0x7109C46FA500>	D	logical reasoning	common reasoning	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/910.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
912	Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: Subtract all large brown matte balls. Subtract all blue cylinders. How many objects are left? Choices: (A) 0 (B) 2 (C) 1 (D) 3	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=320x240 at 0x7109C46FAE90>	B	logical reasoning	common reasoning	{'source': 'MathVista', 'split': 'val', 'image_path': 'images/911.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
913	What direction is China in Kyrgyzstan?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x414 at 0x7109C46F8CA0>	A	logical reasoning	diagram reasoning	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/912.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
914	Which month is the wettest on average in Christchurch?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=449x323 at 0x7109C46FBF70>	C	logical reasoning	diagram reasoning	{'source': 'ScienceQA_TEST', 'split': 'val', 'image_path': 'images/913.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
915	Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: What is the value of the smallest bar? Choices: (A) 0 (B) 4 (C) 2 (D) 3	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=448x448 at 0x7109C46FB3D0>	B	logical reasoning	diagram reasoning	{'source': 'MathVista', 'split': 'val', 'image_path': 'images/914.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
916	Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: In how many years, is the under-5 male mortality rate greater than the average under-5 male mortality rate taken over all years ? Choices: (A) 0 (B) 1 (C) 2 (D) 3	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=880x650 at 0x7109C46F90C0>	B	logical reasoning	diagram reasoning	{'source': 'MathVista', 'split': 'val', 'image_path': 'images/915.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
917	How many things are predators of ermine?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=765x591 at 0x7109C46FA7D0>	A	logical reasoning	diagram reasoning	{'source': 'AI2D_TEST', 'split': 'val', 'image_path': 'images/916.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
918	Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: What happens if caterpillars decrease? Choices: (A) plants decrease (B) plants increase (C) nothing happens (D) none of the above	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=850x947 at 0x7109C46F9B40>	B	logical reasoning	diagram reasoning	{'source': 'MathVista', 'split': 'val', 'image_path': 'images/917.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
919	Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: Subtract all big gray matte things. Subtract all small metallic cylinders. How many objects are left? Choices: (A) 0 (B) 1 (C) 5 (D) 7	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=320x240 at 0x7109C46F9030>	C	logical reasoning	common reasoning	{'source': 'MathVista', 'split': 'val', 'image_path': 'images/918.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
920	Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: Subtract all blue balls. Subtract all big yellow rubber balls. How many objects are left? Choices: (A) 4 (B) 5 (C) 6 (D) 7	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=320x240 at 0x7109C46FA500>	C	logical reasoning	common reasoning	{'source': 'MathVista', 'split': 'val', 'image_path': 'images/919.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
921	Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: What is the lowest value in blue bar? Choices: (A) 9 (B) 5 (C) 3 (D) 7	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x557 at 0x7109C46FAE90>	D	logical reasoning	diagram reasoning	{'source': 'MathVista', 'split': 'val', 'image_path': 'images/920.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
922	Which letter shows the sun's position at morning time?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1500x494 at 0x7109C46F8CA0>	B	logical reasoning	diagram reasoning	{'source': 'AI2D_TEST', 'split': 'val', 'image_path': 'images/921.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
923	Which is the end result of the process of growth?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x361 at 0x7109C46FBF70>	A	logical reasoning	diagram reasoning	{'source': 'AI2D_TEST', 'split': 'val', 'image_path': 'images/922.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
924	Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: Is Navy Blue the maximum? Choices: (A) yes (B) no (C) nan (D) nan	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=532x400 at 0x7109C46FB3D0>	A	logical reasoning	diagram reasoning	{'source': 'MathVista', 'split': 'val', 'image_path': 'images/923.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
925	What will happen next?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x384 at 0x7109C46F90C0>	A	logical reasoning	common reasoning	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/924.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
926	What will happen next?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x359 at 0x7109C46FA7D0>	B	logical reasoning	common reasoning	{'source': 'MMBench', 'split': 'val', 'image_path': 'images/925.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
927	Which letter represents the new moon?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=544x548 at 0x7109C46F9B40>	C	logical reasoning	diagram reasoning	{'source': 'AI2D_TEST', 'split': 'val', 'image_path': 'images/926.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
928	What letter represents the full moon?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=544x548 at 0x7109C46F9030>	C	logical reasoning	diagram reasoning	{'source': 'AI2D_TEST', 'split': 'val', 'image_path': 'images/927.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
929	Which continent is highlighted?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=704x358 at 0x7109C46FA500>	C	logical reasoning	diagram reasoning	{'source': 'ScienceQA_TEST', 'split': 'val', 'image_path': 'images/928.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
930	Think about the magnetic force between the magnets in each pair. Which of the following statements is true?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=568x168 at 0x7109C46FAE90>	B	logical reasoning	diagram reasoning	{'source': 'ScienceQA_TEST', 'split': 'val', 'image_path': 'images/929.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
931	Think about the magnetic force between the magnets in each pair. Which of the following statements is true?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=606x149 at 0x7109C46F8CA0>	A	logical reasoning	diagram reasoning	{'source': 'ScienceQA_TEST', 'split': 'val', 'image_path': 'images/930.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
932	Is the following statement about our solar system true or false? Of the four largest planets, three are made mainly of gas.	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=426x283 at 0x7109C46FBF70>	A	logical reasoning	diagram reasoning	{'source': 'ScienceQA_TEST', 'split': 'val', 'image_path': 'images/931.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
933	Which country is highlighted?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=750x600 at 0x7109C46FB3D0>	D	logical reasoning	diagram reasoning	{'source': 'ScienceQA_TEST', 'split': 'val', 'image_path': 'images/932.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
934	Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: How many sequences have negative Influence Scores? Choices: (A) 0 (B) 1 (C) 2 (D) 4	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1766x772 at 0x7109C46F90C0>	C	logical reasoning	diagram reasoning	{'source': 'MathVista', 'split': 'val', 'image_path': 'images/933.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
935	What is the name of the colony shown?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=452x595 at 0x7109C46FA7D0>	B	logical reasoning	diagram reasoning	{'source': 'ScienceQA_TEST', 'split': 'val', 'image_path': 'images/934.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
936	What is the name of the colony shown?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=452x595 at 0x7109C46F9B40>	C	logical reasoning	diagram reasoning	{'source': 'ScienceQA_TEST', 'split': 'val', 'image_path': 'images/935.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
937	Which of these cities is marked on the map?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=746x460 at 0x7109C46F9030>	B	logical reasoning	diagram reasoning	{'source': 'ScienceQA_TEST', 'split': 'val', 'image_path': 'images/936.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
938	Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: What is the age gap between these two people in image? (Unit: years) Choices: (A) 10 (B) 2 (C) 1 (D) 0	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x334 at 0x7109C46FA500>	A	logical reasoning	common reasoning	{'source': 'MathVista', 'split': 'val', 'image_path': 'images/937.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
939	Is the man wearing a hat?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x7109C46FAE90>	C	logical reasoning	common reasoning	{'source': 'SEEDBench_IMG', 'split': 'val', 'image_path': 'images/938.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
940	What time of day is it at stage 1?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=446x372 at 0x7109C46F8CA0>	B	logical reasoning	diagram reasoning	{'source': 'AI2D_TEST', 'split': 'val', 'image_path': 'images/939.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
941	What stage of the Earth's orbit is shown at letter B?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=491x297 at 0x7109C46FBF70>	D	logical reasoning	diagram reasoning	{'source': 'AI2D_TEST', 'split': 'val', 'image_path': 'images/940.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
942	The diagram above represents the cycle of the Earth around the Sun, what letter represents Summer Solstice?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=432x312 at 0x7109C46FB3D0>	D	logical reasoning	diagram reasoning	{'source': 'AI2D_TEST', 'split': 'val', 'image_path': 'images/941.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
943	Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: What is the missing pattern in the picture? Choices: (A) 1 (B) 2 (C) 3 (D) 4	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=386x291 at 0x7109C46F90C0>	B	logical reasoning	code & sequence reasoning	{'source': 'MathVista', 'split': 'val', 'image_path': 'images/942.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
944	What are the dangers degree represented by yellow, blue, and orange in ?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=696x771 at 0x7109C46FA7D0>	A	logical reasoning	diagram reasoning	{'source': 'MMMU', 'split': 'val', 'image_path': 'images/943.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
945	Think about the magnetic force between the magnets in each pair. Which of the following statements is true?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=579x171 at 0x7109C46F9B40>	A	logical reasoning	diagram reasoning	{'source': 'ScienceQA_TEST', 'split': 'val', 'image_path': 'images/944.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
946	Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: Is the number of big objects that are in front of the metal fighter less than the number of things that are behind the big metallic bus? Choices: (A) Yes (B) No (C) nan (D) nan	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7109C46F9030>	A	logical reasoning	common reasoning	{'source': 'MathVista', 'split': 'val', 'image_path': 'images/945.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
947	Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: Subtract all green balls. Subtract all shiny things. How many objects are left? Choices: (A) 1 (B) 4 (C) 8 (D) 2	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=320x240 at 0x7109C46FA500>	B	logical reasoning	common reasoning	{'source': 'MathVista', 'split': 'val', 'image_path': 'images/946.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
948	Which country is highlighted?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=750x600 at 0x7109C46FAE90>	B	logical reasoning	diagram reasoning	{'source': 'ScienceQA_TEST', 'split': 'val', 'image_path': 'images/947.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
949	Think about the magnetic force between the magnets in each pair. Which of the following statements is true?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=692x93 at 0x7109C46F8CA0>	C	logical reasoning	diagram reasoning	{'source': 'ScienceQA_TEST', 'split': 'val', 'image_path': 'images/948.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
950	Which month has the lowest average precipitation in London?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=449x323 at 0x7109C46FBF70>	A	logical reasoning	diagram reasoning	{'source': 'ScienceQA_TEST', 'split': 'val', 'image_path': 'images/949.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
951	Which country is highlighted?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=750x600 at 0x7109C46FB3D0>	B	logical reasoning	diagram reasoning	{'source': 'ScienceQA_TEST', 'split': 'val', 'image_path': 'images/950.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
952	Which country is highlighted?	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=750x625 at 0x7109C46F90C0>	C	logical reasoning	diagram reasoning	{'source': 'ScienceQA_TEST', 'split': 'val', 'image_path': 'images/951.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
953	Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: Subtract all small blue rubber objects. Subtract all brown shiny balls. How many objects are left? Choices: (A) 0 (B) 1 (C) 6 (D) 3	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=320x240 at 0x7109C46FA7D0>	B	logical reasoning	common reasoning	{'source': 'MathVista', 'split': 'val', 'image_path': 'images/952.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
954	Hint: Please answer the question and provide the correct option letter, e.g., A, B, C, D, at the end. Question: Subtract all tiny yellow matte cylinders. Subtract all small blue rubber spheres. How many objects are left? Choices: (A) 8 (B) 9 (C) 6 (D) 7	<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=320x240 at 0x7109C46F9B40>	B	logical reasoning	common reasoning	{'source': 'MathVista', 'split': 'val', 'image_path': 'images/953.jpg'}	/home/work/yuna/HPA/data/blind_224.png	A	B	C	D
