,core_attributes,spurious_attributes,spurious_correlation_type,question,choices,answer,image,answer_type,qid
182,"['white liquid', 'milk label', 'plastic bottle']","['bottle shape', 'kitchen setting', 'blue cap', 'marble countertop', 'hand holding']","['Shape', 'Background']",Which feature best indicates the identity of the object that has a blue cap and is on the marble countertop?,"['A. The kitchen setting', 'B. The marble countertop', 'C. The blue cap', 'D. The white liquid inside']",D,000937.png,choice,s937
183,"['cutting mechanism', 'handle', 'power cord', 'grip']","['near coffee maker', 'kitchen stove', 'black color', 'hand holding']","['Background', 'Orientation']",Which feature best indicates the identity of the object being held near the coffee maker?,"['A. The hand holding', 'B. The kitchen stove', 'C. The black color', ""D. The object's cutting mechanism""]",D,000276.png,choice,s276
184,"['flat surface', 'metal legs', 'padding']","['low position', 'kitchen floor', 'rectangular shape', 'near appliances']","['Background', 'Orientation']",Which feature best indicates the identity of the object that is low on the kitchen floor?,"[""A. The object's padding"", 'B. The kitchen floor', 'C. The nearby appliances', 'D. The rectangular shape']",A,000128.png,choice,s128
185,"['detached display', 'large screen', 'no keyboard', 'stand', 'cables']","['keyboard', 'angled screen', 'charger plug', 'desk surface', 'shadow']","['Co-occurring Objects', 'Orientation']",Which feature best indicates the identity of the object with the large screen on the desk?,"[""A. The object's large screen"", 'B. The charger plug', 'C. The angled screen', 'D. The keyboard']",A,001353.png,choice,s1353
186,"['seeds', 'unique shape', 'rough texture']","['background text', 'inverted image', 'black and white']","['Background', 'Orientation']",Which feature best indicates the identity of the object with seeds and unique shape?,"['A. The black and white color', 'B. The background text', ""C. The object's seeds"", 'D. The inverted image']",C,002219.png,choice,s2219
187,"['slender body', 'long legs', 'distinct horns']","['outdoor setting', 'brown color', 'standing position', 'grassy field']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the animal standing in the grassy field?,"[""A. The animal's distinct horns"", 'B. The brown color', 'C. The outdoor setting', 'D. The grassy field']",A,002105.png,choice,s2105
188,"['rectangular box', 'cereal branding', 'product name']","['sideways orientation', 'carpet background', 'near furniture']","['Background', 'Orientation']",Which feature best identifies the object lying on its side in the image?,"['A. The carpet', ""B. The object's branding"", 'C. Nearby furniture', 'D. The room lighting']",B,000974.png,choice,s974
189,"['large size', 'deep bowl', 'metal material']","['upside down', 'reflective surface', 'wooden floor', 'bright lighting']","['Orientation', 'Lighting and Shadows']",Which feature best indicates the identity of the object with a reflective surface on the wooden floor?,"['A. Bright lighting', 'B. The wooden floor', ""C. The object's large size"", 'D. The reflective surface']",C,001140.png,choice,s1140
190,"['thin material', 'square shape', 'folded', 'single layer']","['lying person', 'floral pattern', 'bed setting', 'red color']","['Background', 'Colorization']",Which feature best indicates the identity of the red object on the bed?,"['A. The red color', 'B. The lying person', ""C. The object's thin material"", 'D. The colorful floral pattern']",C,001988.png,choice,s1988
191,"['hexagonal shape', 'central hole', 'metallic', 'small size', 'threaded interior']","['close-up view', 'hand-held', 'metallic texture', 'background blur']","['Perspective and Angle', 'Texture and Noise']",Which feature best indicates the identity of the object held between fingers?,"['A. The background blur', ""B. The object's hexagonal shape"", 'C. The metallic texture', 'D. The hand holding it']",B,000877.png,choice,s877
192,"['plaid pattern', 'drawstring', 'short length']","['clothes hamper', 'dustpan', 'cluttered floor']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the plaid object on the floor?,"['A. The cluttered floor', 'B. The clothes hamper', 'C. The dustpan', ""D. The object's drawstring""]",D,000541.png,choice,s541
193,"['blade', 'handle', 'pointed tip']","['cluttered background', 'hand holding', 'dim lighting', 'near socks']","['Background', 'Shape']",Which feature best indicates the identity of the object held in the hand?,"['A. The nearby socks', 'B. The hand holding it', ""C. The object's pointed tip"", 'D. The cluttered background']",C,001936.png,choice,s1936
194,"['cylindrical shape', 'pedal', 'lid', 'metal body']","['bathtub', 'hand', 'tile floor', 'blue faucet cover']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object being held near the bathtub?,"[""A. The object's cylindrical shape"", 'B. The blue faucet cover', 'C. The tile floor', 'D. The bathtub']",A,000995.png,choice,s995
195,"['sleeves', 'fabric type', 'button-down design']","['crumpled', 'wooden floor', 'shadow', 'nearby feet']","['Background', 'Orientation']",Which feature best indicates the identity of the crumpled object on the floor?,"['A. Wooden floor', 'B. Shadow', ""C. The object's sleeves"", 'D. Nearby feet']",C,001937.png,choice,s1937
196,"['soft', 'rectangular shape', 'patterned fabric']","['nearby clothes', 'on container', 'patterned floor', 'shadow']","['Background', 'Orientation']",Which feature best indicates the identity of the object placed on the container?,"['A. The shadow', 'B. The patterned floor', ""C. The object's patterned fabric"", 'D. The nearby clothes']",C,001667.png,choice,s1667
197,"['fabric', 'shape', 'folded']","['bathroom items', 'black color', 'sink', 'soap dispenser']","['Background', 'Colorization']",Which feature best indicates the identity of the object near the sink?,"['A. The soap dispenser', 'B. The black color', ""C. The object's fabric"", 'D. The toothbrush']",C,000779.png,choice,s779
198,"['label', 'shape', 'bottle cap']","['microwave', 'kitchen counter', 'near sink', 'tipped over']","['Background', 'Orientation']",Which feature best indicates the identity of the object that is placed near the microwave?,"['A. The sink', 'B. The microwave', 'C. The kitchen counter', ""D. The object's label""]",D,000386.png,choice,s386
199,"['flat surface', 'raised edges', 'rectangular shape']","['bed', 'striped blanket', 'metallic texture', 'dim lighting']","['Background', 'Texture and Noise']",Which feature best indicates the identity of the metallic object on the bed?,"[""A. The object's raised edges"", 'B. The striped blanket', 'C. The bed', 'D. Dim lighting']",A,000397.png,choice,s397
200,"['small size', 'sealed packet', 'flat shape', 'paper material']","['toilet', 'toilet paper roll', 'hand holding object', 'bathroom setting', 'horizontal orientation']","['Background', 'Orientation']",Which feature best indicates the identity of the object being held horizontally in the bathroom?,"['A. The toilet', 'B. The object’s small size', 'C. The hand holding the object', 'D. The toilet paper roll']",B,001765.png,choice,s1765
201,"['horizontal seat', 'four legs', 'solid structure']","['tipped over', 'nearby towels', 'laundry rack', 'wooden floor']","['Background', 'Orientation']",Which feature best indicates the identity of the object that is tipped over near the towels?,"[""A. The object's solid structure"", 'B. The wooden floor', 'C. The laundry rack', 'D. Nearby towels']",A,001451.png,choice,s1451
202,"['athletic design', 'laces', 'sole', 'ventilation holes', 'supportive structure']","['nearby cat', 'indoor setting', 'carpet floor', 'blurred background']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object next to the cat?,"[""A. The object's laces"", 'B. The carpet floor', 'C. The blurred background', 'D. The nearby cat']",A,001734.png,choice,s1734
203,"['flat surface', 'rectangular shape', 'smooth texture', 'green color']","['pink chair', 'blue box', 'carpet', 'striped clothing']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the green object partially visible near the pink chair?,"['A. The carpet', 'B. The pink chair', 'C. The blue box', ""D. The object's flat surface""]",D,001683.png,choice,s1683
204,"['small size', 'handle', 'grinding mechanism', 'metal top', 'wooden base']","['on bed', 'near pillows', 'blankets', 'bed frame', 'bedroom setting']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object that is on the bed?,"[""A. The object's handle"", 'B. The bed frame', 'C. The blankets', 'D. The pillows']",A,001912.png,choice,s1912
205,"['shallow depth', 'decorative pattern', 'curved shape']","['hand holding', 'dark countertop', 'near lamp', 'background decor']","['Background', 'Orientation']",Which feature best indicates the identity of the object being held over the countertop?,"['A. The background decor', ""B. The object's curved shape"", 'C. The hand holding it', 'D. The dark countertop']",B,000221.png,choice,s221
206,"['USB connector', 'cable length', 'white color']","['bathroom sink', 'soap dispenser', 'spoon', 'hand holding']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object being held near the sink?,"[""A. The object's USB connector"", 'B. The spoon', 'C. The soap dispenser', 'D. The bathroom sink']",A,000403.png,choice,s403
207,"['fabric texture', 'large size', 'rectangular shape']","['colorful pattern', 'handheld', 'nearby blankets', 'sofa', 'window']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the colorful item being held?,"['A. The fabric texture', 'B. The colorful pattern', 'C. The nearby blankets', 'D. The sofa']",A,000248.png,choice,s248
208,"['stapling mechanism', 'handle', 'metal body', 'blue color']","['kitchen setting', 'water bottle', 'glass', 'table surface', 'lighting']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object on the table?,"['A. The water bottle', ""B. The object's metal body"", 'C. The table surface', 'D. The glass']",B,001649.png,choice,s1649
209,"['blade', 'handle', 'metallic body']","['shape', 'metallic appearance', 'background color', 'lighting']","['Shape', 'Lighting and Shadows']",Which feature best indicates the identity of the metallic object on the table?,"['A. Background color', 'B. Shape', 'C. Blade', 'D. Metallic appearance']",C,001389.png,choice,s1389
210,"['chuck', 'handle', 'battery', 'trigger']","['carpet', 'horizontal', 'no drill bit', 'dark colors']","['Background', 'Orientation']",Which feature best indicates the identity of the object lying horizontally on the carpet?,"['A. The carpet', 'B. The dark colors', ""C. The object's handle"", 'D. The absence of a drill bit']",C,000447.png,choice,s447
211,"['open structure', 'rectangular shape', 'drawers hold items']","['items inside', 'wooden floor', 'cable nearby', 'rectangular shape']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object that contains various everyday items on the wooden floor?,"['A. The nearby cable', 'B. The wooden floor', 'C. The items inside', 'D. The open structure']",D,001018.png,choice,s1018
212,"['tall structure', 'footwear', 'black color']","['nearby leg', 'polka-dot shorts', 'carpet']","['Co-occurring Objects', 'Colorization']",Which feature best indicates the identity of the object next to the leg on the carpet?,"['A. The carpet', 'B. The polka-dot shorts', ""C. The object's tall structure"", 'D. The nearby leg']",C,000784.png,choice,s784
213,"['crust', 'pie shape', 'filled center']","['nearby socks', 'horizontal orientation', 'background lines', 'rectangular appearance']","['Background', 'Orientation']",Which feature best indicates the identity of the object with a crusty exterior in the image?,"['A. The rectangular appearance', 'B. The nearby socks', 'C. The background lines', ""D. The object's crust""]",D,002202.png,choice,s2202
214,"['soft fabric', 'decorative pattern', 'foldable', 'rectangular shape']","['crumpled shape', 'wooden floor', 'near door', 'geometric pattern']","['Background', 'Shape']",Which feature best indicates the identity of the crumpled object on the floor?,"['A. The nearby door', 'B. The wooden floor', 'C. The geometric pattern', 'D. The soft fabric']",D,001837.png,choice,s1837
215,"['zipper', 'handle', 'compact design']","['bed', 'pillow', 'hand holding it', 'blanket', 'lighting']","['Background', 'Relative Size']",Which feature best indicates the identity of the object being held in the hand?,"['A. The pillow', 'B. The bed', 'C. The zipper', 'D. The lighting']",C,000574.png,choice,s574
216,"['scaly skin', 'curved body', 'triangular head']","['sandy background', 'bright lighting', 'branches']","['Background', 'Lighting and Shadows']",Which feature best indicates the identity of the object on the sandy background?,"['A. The bright lighting', ""B. The object's scaly skin"", 'C. The sandy texture', 'D. The branches']",B,002390.png,choice,s2390
217,"['portafilter handle', 'water reservoir', 'power cord', 'black body']","['bathroom tiles', 'shower drain', 'red slippers', 'tilted position']","['Background', 'Orientation']",Which feature best indicates the identity of the object that is placed near the shower drain?,"['A. Bathroom tiles', 'B. Shower drain', 'C. Red slippers', 'D. The portafilter handle']",D,000751.png,choice,s751
218,"['coiled shape', 'scales pattern', 'slender body', 'head distinct']","['blurred background', 'texture', 'coiled shape', 'lighting effect']","['Background', 'Texture and Noise']",Which feature best indicates the identity of the object that is coiled and blurred in the image?,"['A. The lighting effect', ""B. The object's coiled shape"", 'C. The texture pattern', 'D. The background blur']",B,002210.png,choice,s2210
219,"['metallic', 'spring mechanism', 'small size']","['laptop', 'wooden table', 'clutter', 'open table area']","['Co-occurring Objects', 'Background']",Which feature best indicates the identity of the object on the wooden table?,"['A. The wooden table', 'B. The clutter', 'C. The small size', 'D. The laptop']",C,001894.png,choice,s1894
220,"['cylindrical shape', 'distinctive cap', 'small size']","['on chair', 'plastic chair', 'granite floor', 'background wall']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object placed on the chair?,"[""A. The object's distinctive cap"", 'B. The granite floor', 'C. The chair', 'D. The background wall']",A,001023.png,choice,s1023
221,"['handle', 'spout', 'cylindrical shape']","['lid', 'container shape', 'carpeted floor']","['Shape', 'Background']",Which feature best indicates the identity of the object on the carpeted floor?,"['A. The carpeted floor', 'B. The container shape', ""C. The object's handle"", 'D. The lid']",C,000308.png,choice,s308
222,"['elastic material', 'small size', 'circular shape']","['wooden background', 'single object', 'center of image']","['Background', 'Shape']",Which feature best indicates the identity of the circular object on the wooden surface?,"['A. The wooden surface', 'B. Its central position', 'C. Its single presence', 'D. Its elastic material']",D,001815.png,choice,s1815
223,"['round shape', 'flat top', 'plastic material', 'small size']","['green color', 'lying on floor', 'cylindrical shape', 'absence of bottle', 'smooth surface']","['Shape', 'Background']","Which feature best indicates the identity of the green, round object lying on the floor?","['A. Its small size', 'B. The cylindrical shape', 'C. The green color', 'D. The smooth surface']",A,000401.png,choice,s401
224,"['miniature airplane', 'bright color', 'wings', 'tail', 'small size']","['small size', 'on the floor', 'nearby box', 'bubble wrap', 'shiny surface']","['Background', 'Relative Size']",Which feature best indicates the identity of the small object on the floor?,"['A. The small size', 'B. The nearby box', ""C. The object's wings"", 'D. The bubble wrap']",C,000207.png,choice,s207
225,"['rectangular shape', 'cover art', 'plastic case']","['microwave', 'kitchen setting', 'owl decoration', 'wooden cabinets', 'hand holding']","['Background', 'Orientation']",Which feature best indicates the identity of the object being held near the microwave?,"['A. The owl decoration', ""B. The object's cover art"", 'C. The wooden cabinets', 'D. The microwave']",B,000060.png,choice,s60
226,"['dates', 'layout', 'spiral binding', 'rectangular shape']","['floor', 'shoes', 'box', 'nearby objects']","['Background', 'Shape']",Which feature best indicates the identity of the object lying on the floor?,"['A. The floor tiles', 'B. The shoes', 'C. The spiral binding', 'D. The box']",C,000382.png,choice,s382
227,"['cylindrical shape', 'lid', 'compact size']","['kitchen background', 'on the table', 'near other containers', 'tilted']","['Background', 'Orientation']",Which feature best indicates the identity of the object tilted on the table?,"['A. The kitchen background', 'B. The floral tablecloth', 'C. The nearby containers', ""D. The object's compact size""]",D,000968.png,choice,s968
228,"['flat surface', 'raised edge', 'handle', 'rectangular shape']","['hand holding', 'blue color', 'near carpet', 'indoor setting']","['Background', 'Orientation']",Which feature best indicates the identity of the blue object being held near the carpet?,"['A. The indoor setting', ""B. The object's flat surface"", 'C. The hand holding it', 'D. The blue color']",B,000681.png,choice,s681
229,"['blade', 'handle', 'sharp edge']","['yellow jug', 'cleaning supplies', 'cluttered background', 'water filter']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object on the cluttered countertop?,"['A. The cleaning supplies', 'B. The yellow jug', 'C. The water filter', ""D. The object's blade""]",D,001664.png,choice,s1664
230,"['handle', 'cylindrical shape', 'solid structure', 'blue color']","['near salt shaker', 'on tablecloth', 'remote controls', 'near other containers']","['Co-occurring Objects', 'Background']",Which feature best indicates the identity of the object being held near the salt shaker?,"['A. The remote controls', 'B. The salt shaker', 'C. The tablecloth', ""D. The object's handle""]",D,001989.png,choice,s1989
231,"['elastic waistband', 'short length', 'leg holes', 'panda print', 'drawstring']","['blanket nearby', 'dim lighting', 'curtain', 'folded appearance']","['Co-occurring Objects', 'Lighting and Shadows']",Which feature best indicates the identity of the object with panda print on the chair?,"['A. The nearby blanket', 'B. The dim lighting', 'C. The elastic waistband', 'D. The curtain']",C,001971.png,choice,s1971
232,"['woven structure', 'handle', 'round shape']","['pillow', 'bed sheet', 'clutter', 'bed setting', 'remote control']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object surrounded by clutter on the bed?,"['A. The remote control', 'B. The bed sheet', 'C. The pillow', ""D. The object's woven structure""]",D,000875.png,choice,s875
233,"['glove shape', 'insulating material', 'fits hand', 'thermal protection']","['lamp', 'bottle', 'wooden table', 'other objects']","['Co-occurring Objects', 'Background']",Which feature best indicates the identity of the green object on the wooden table?,"['A. The bottle', 'B. The lamp', 'C. The glove shape', 'D. The wooden table']",C,001642.png,choice,s1642
234,"['mesh surface', 'handles', 'bowl shape']","['under bed', 'carpet floor', 'camera lens', 'bed sheet', 'black socks']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object under the bed?,"['A. The carpet floor', 'B. The bed sheet', ""C. The object's mesh surface"", 'D. The camera lens']",C,000240.png,choice,s240
235,"['woven structure', 'handle', 'open top']","['red countertop', 'paper towels', 'kitchen appliances', 'dishwasher']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object on the red countertop?,"['A. The red countertop', 'B. The woven structure', 'C. The dishwasher', 'D. The paper towels']",B,000674.png,choice,s674
236,"['rectangular shape', 'floor placement', 'rug texture']","['colorful pattern', 'horizontal stripes', 'multicolored']","['Colorization', 'Texture and Noise']",Which feature best indicates the identity of the object with the colorful pattern on the floor?,"['A. The multicolored design', 'B. The horizontal stripes', 'C. The colorful pattern', ""D. The object's placement on the floor""]",D,001552.png,choice,s1552
237,"['cylindrical shape', 'wooden material', 'long length']","['bathroom tiles', 'angled position', 'soap holder', 'bathtub']","['Background', 'Orientation']",Which feature best indicates the identity of the object that is positioned at an angle in the bathroom?,"['A. The soap holder', 'B. The bathtub', 'C. The bathroom tiles', ""D. The object's cylindrical shape""]",D,000008.png,choice,s8
238,"['lens', 'buttons', 'viewfinder', 'rectangular body']","['near sink', 'toothbrush', 'bathroom tiles', 'water tap']","['Background', 'Orientation']",Which feature best indicates the identity of the object that is placed near the sink?,"['A. The water tap', 'B. The bathroom tiles', ""C. The object's lens"", 'D. The toothbrush']",C,001599.png,choice,s1599
239,"['adjustable jaw', 'long handles', 'metallic', 'grip']","['floral pattern', 'horizontal position', 'bedding']","['Background', 'Shape']",Which feature best indicates the identity of the object lying horizontally on the bed?,"[""A. The object's adjustable jaw"", 'B. The bedding', 'C. The floral pattern', ""D. The object's color""]",A,001086.png,choice,s1086
240,"['round', 'metallic', 'small']","['plastic wrap', 'floral background', 'shiny surface', 'large object nearby', 'glossy texture']","['Background', 'Texture and Noise']","Which feature best indicates the identity of the small, round object with a shiny surface?","['A. The plastic wrap', 'B. The floral background', ""C. The object's metallic nature"", 'D. The large object nearby']",C,001863.png,choice,s1863
241,"['open toe', 'strap', 'heel']","['bed', 'laptop', 'blanket', 'indoor setting']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object on the bed?,"[""A. The object's strap"", 'B. The blanket', 'C. The laptop', 'D. The bed']",A,001168.png,choice,s1168
242,"['cylindrical shape', 'metallic surface', 'lid', 'insulated']","['computer mouse', 'notebook', 'desk', 'wires']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the cylindrical object on the desk?,"['A. Wires', 'B. The notebook', 'C. The computer mouse', ""D. The object's metallic surface""]",D,001732.png,choice,s1732
243,"['folding tool', 'metal parts', 'multiple functions']","['black handle', 'small size', 'handheld', 'gray background', 'single visible part']","['Shape', 'Colorization']",Which feature best indicates the identity of the object that is handheld with a black handle?,"['A. The metal parts', 'B. The black handle', 'C. The gray background', 'D. The small size']",A,001993.png,choice,s1993
244,"['hook shape', 'thin frame', 'yellow color']","['cloth', 'flat surface', 'bed', 'woolen texture']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the yellow object on the flat surface?,"['A. The woolen texture', 'B. The bed', 'C. The cloth around it', 'D. The hook shape']",D,000634.png,choice,s634
245,"['staple compartment', 'pressing mechanism', 'compact shape']","['small size', 'metallic parts', 'single color', 'tabletop background']","['Shape', 'Colorization']",Which feature best indicates the identity of the small object on the table?,"['A. The metallic parts', 'B. The staple compartment', 'C. The tabletop', 'D. The single color']",B,000777.png,choice,s777
246,"['clasp mechanism', 'small size', 'decorative design']","['striped bed sheet', 'small size', 'shadow']","['Background', 'Relative Size']",Which feature best indicates the identity of the object on the striped bed sheet?,"[""A. The object's clasp mechanism"", 'B. The small size', 'C. The striped bed sheet', 'D. The shadow of the object']",A,001215.png,choice,s1215
247,"['flat base', 'scoop', 'short handle', 'angled head']","['red color', 'handle', 'carpet', 'shadow', 'plastic material']","['Colorization', 'Shape']",Which feature best indicates the identity of the red object with a handle?,"['A. The shadow', 'B. The carpet', 'C. The flat base', 'D. The red color']",C,000891.png,choice,s891
248,"['round shape', 'large size', 'shiny surface']","['near sink', 'toiletries', 'seashells', 'bathroom mirror']","['Background', 'Context']",Which feature best indicates the identity of the object held in the bathroom?,"['A. The seashells', 'B. The bathroom mirror', ""C. The object's round shape"", 'D. The sink']",C,000239.png,choice,s239
249,"['rectangular shape', 'metal material', 'slight lip']","['on a bed', 'near a pillow', 'patterned bedspread', 'wooden furniture']","['Background', 'Orientation']",Which feature best indicates the identity of the object placed on the bed?,"['A. The pillow nearby', 'B. The wooden furniture', ""C. The object's metal material"", 'D. The patterned bedspread']",C,000249.png,choice,s249
250,"['felt tip', 'ink reservoir', 'plastic body', 'removable cap']","['elongated shape', 'blue color', 'held by hand', 'textured background']","['Shape', 'Colorization']",Which feature best indicates the identity of the blue object held in the hand?,"['A. The textured background', 'B. The elongated shape', 'C. The blue color', 'D. The felt tip']",D,001284.png,choice,s1284
251,"['fabric', 'sleeves', 'neckline', 'shirt shape']","['crumpled', 'bathroom sink', 'bathroom floor', 'mirror']","['Background', 'Orientation']",Which feature best indicates the identity of the object located on the bathroom sink?,"['A. The mirror', 'B. The bathroom sink', ""C. The object's fabric and sleeves"", 'D. The bathroom floor tiles']",C,000234.png,choice,s234
252,"['artistic shape', 'detailed features', 'standing position']","['laptop', 'plastic container', 'cloth surface', 'shadows']","['Co-occurring Objects', 'Background']",Which feature best indicates the identity of the object standing on the laptop?,"['A. The laptop', 'B. The plastic container', ""C. The object's detailed features"", 'D. The cloth surface']",C,000205.png,choice,s205
253,"['pump mechanism', 'dispensing nozzle', 'label', 'liquid soap']","['bathroom mat', 'tile floor', 'generic bottle shape', 'label']","['Background', 'Shape']",Which feature best indicates the identity of the object on the tile floor?,"['A. The generic bottle shape', 'B. The tile floor', 'C. The bathroom mat', 'D. The pump mechanism']",D,001952.png,choice,s1952
254,"['facial features', 'fur texture', 'paws', 'ears', 'eyes']","['fur position', 'pattern resemblance', 'drawing style']","['Texture and Noise', 'Co-occurring Objects']",Which feature best indicates the identity of the object with detailed fur texture and distinct facial features?,"['A. Sea lion', 'B. Entertainment center', 'C. A dog breed with distinctive fur', 'D. Electric locomotive']",C,002059.png,choice,s2059
255,"['cylindrical shape', 'pull-tab', 'metallic finish', 'small size']","['green container', 'yellow lighting', 'wooden surface', 'vertical position']","['Background', 'Lighting and Shadows']",Which feature best indicates the identity of the object on the green container?,"['A. The green container', ""B. The object's small size"", 'C. The wooden surface', 'D. The yellow lighting']",B,000644.png,choice,s644
256,"['cylindrical shape', 'label', 'vent holes']","['handheld', 'carpet', 'green color', 'pet image']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object being held on the carpet?,"[""A. The object's label"", 'B. The pet image', 'C. The hand holding it', 'D. The carpet']",A,000232.png,choice,s232
257,"['fibrous texture', 'looped shape', 'soft material']","[""cat's face"", 'yellow eyes', 'lighting', 'close-up view', 'whiskers']","['Co-occurring Objects', 'Perspective and Angle']",Which feature is misleading in identifying the object around the cat's neck?,"['A. The whiskers', ""B. The object's fibrous texture"", 'C. The close-up view', ""D. The cat's yellow eyes""]",B,002080.png,choice,s2080
258,"['rectangular shape', 'printed text', 'denomination', 'serial number', 'symbol']","['hand holding', 'patterned carpet', 'shadow', 'lighting']","['Background', 'Orientation']",Which feature best indicates the identity of the paper object being held with a hand?,"['A. The shadow', 'B. The hand holding it', 'C. The patterned carpet', 'D. The printed denomination']",D,000328.png,choice,s328
259,"['distinct shape', 'detailed design', 'small size']","['near sink', 'soap dispenser', 'bathroom tiles', 'water tap', 'hand']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object near the sink?,"['A. The bathroom tiles', 'B. The soap dispenser', 'C. The water tap', ""D. The object's distinct shape""]",D,000761.png,choice,s761
260,"['round shape', 'small size', 'fastener', 'central holes']","['patterned fabric', 'clothing item', 'fabric texture', 'vertical orientation']","['Co-occurring Objects', 'Orientation']",Which feature best indicates the identity of the object that is part of the patterned fabric?,"[""A. The object's round shape"", 'B. The fabric pattern', 'C. The vertical orientation', 'D. The fabric texture']",A,000280.png,choice,s280
261,"['round shape', 'metal plug', 'rubber seal']","['laundry basket', 'red towel', 'bathroom floor', 'instruction paper']","['Co-occurring Objects', 'Background']",Which feature best indicates the identity of the object near the laundry basket?,"['A. The red towel', 'B. The laundry basket', 'C. The instruction paper', 'D. The round shape']",D,000278.png,choice,s278
262,"['cylindrical shape', 'ridged top', 'cork material']","['near faucet', 'on sink edge', 'bathroom setting', 'metallic background']","['Background', 'Co-occurring Objects']",What feature best indicates the identity of the object placed on the sink edge?,"[""A. The object's ridged top"", 'B. The metallic background', 'C. The faucet', 'D. The bathroom setting']",A,000963.png,choice,s963
263,"['small', 'metallic', 'bent shape', 'teeth-like']","['countertop', 'stove', 'kitchen', 'dark lighting']","['Background', 'Lighting and Shadows']",Which feature best indicates the identity of the small metallic object on the countertop?,"['A. The stove', ""B. The object's bent shape"", 'C. The dark lighting', 'D. The kitchen setting']",B,001653.png,choice,s1653
264,"['laces', 'polished surface', 'formal shape']","['green bucket', 'blue bucket', 'white floor tiles', 'bottles', 'laundry appliances']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the black object near the green bucket?,"['A. The white floor tiles', 'B. The laundry appliances', 'C. The green bucket', ""D. The object's laces""]",D,000491.png,choice,s491
265,"['rectangular shape', 'cover', 'spine', 'flat surface']","['tilted', 'colorful background', 'cartoon characters', 'toy']","['Background', 'Orientation']",Which feature best indicates the identity of the tilted object with cartoon characters on it?,"[""A. The object's flat surface"", 'B. The toy on the table', 'C. The colorful background', 'D. The cartoon characters']",A,001008.png,choice,s1008
266,"['round shape', 'crumbly texture', 'flat surface']","['orange bottle', 'glass jar', 'kitchen utensils', 'microwave']","['Co-occurring Objects', 'Colorization']",Which feature best indicates the identity of the object near the orange bottle?,"[""A. The object's crumbly texture"", 'B. The kitchen utensils', 'C. The orange bottle', 'D. The glass jar']",A,000162.png,choice,s162
267,"['conical shape', 'lamp frame', 'open top', 'open bottom']","['kitchen floor', 'nearby mat', 'cabinets', 'stove']","['Background', 'Orientation']",Which feature best indicates the identity of the object on the kitchen floor?,"['A. The cabinets', 'B. The kitchen mat', ""C. The object's conical shape"", 'D. The stove']",C,000335.png,choice,s335
268,"['rectangular shape', 'multiple compartments', 'orange color']","['coffee mug', 'utensils', 'sink', 'plate', 'cup']","['Co-occurring Objects', 'Background']",Which feature best indicates the identity of the object with multiple compartments next to the sink?,"['A. Coffee mug', 'B. Plate', 'C. Utensils', 'D. Rectangular shape']",D,001717.png,choice,s1717
269,"['thin', 'long', 'flexible', 'single strip']","['bed', 'blanket', 'watch', 'pillow', 'hand']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object being held in the hand over the bed?,"[""A. The object's thinness"", 'B. The watch', 'C. The blanket', 'D. The bed']",A,001295.png,choice,s1295
270,"['deep bowl', 'long handle', 'black surface']","['nearby foot', 'tiled floor', 'angle', 'shadow']","['Background', 'Perspective and Angle']",Which feature best indicates the identity of the object near the foot on the floor?,"['A. The shadow', 'B. The tiled floor', 'C. The nearby foot', ""D. The object's deep bowl""]",D,001068.png,choice,s1068
271,"['pages', 'cover', 'binding']","['diaper box', 'laundry basket', 'carpet', 'upright orientation']","['Background', 'Orientation']",Which feature best indicates the identity of the object that is placed upright beside the laundry basket?,"[""A. The object's pages"", 'B. The diaper box', 'C. The carpet', 'D. The laundry basket']",A,000836.png,choice,s836
272,"['concave head', 'handle', 'small size']","['hand grip', 'kitchen tiles', 'footwear', 'perspective']","['Background', 'Perspective and Angle']",Which feature best indicates the identity of the object being held in the hand?,"['A. The kitchen tiles', 'B. The footwear', 'C. The hand grip', ""D. The object's small size""]",D,001286.png,choice,s1286
